orgid,name,sectorid
1,Aark Wildlife Rehabilitation and Education Center,18
2,Abacus Portfolios,3
3,Abington Art Center,4
3,Abington Art Center,11
3,Abington Art Center,13
4,Abington Township EAC,10
4,Abington Township EAC,12
5,Academy of Natural Sciences (The),4
5,Academy of Natural Sciences (The),12
5,Academy of Natural Sciences (The),17
5,Academy of Natural Sciences (The),18
6,ActionPA / Energy Justice Network,1
6,ActionPA / Energy Justice Network,4
6,ActionPA / Energy Justice Network,5
6,ActionPA / Energy Justice Network,6
6,ActionPA / Energy Justice Network,9
6,ActionPA / Energy Justice Network,12
6,ActionPA / Energy Justice Network,14
7,Adam Rung Woodworks,14
7,Adam Rung Woodworks,16
8,"AKRF, Inc.",1
8,"AKRF, Inc.",2
8,"AKRF, Inc.",5
8,"AKRF, Inc.",9
8,"AKRF, Inc.",10
9,Alliance for a Sustainable Future,4
9,Alliance for a Sustainable Future,5
9,Alliance for a Sustainable Future,8
9,Alliance for a Sustainable Future,9
9,Alliance for a Sustainable Future,11
9,Alliance for a Sustainable Future,14
9,Alliance for a Sustainable Future,16
9,Alliance for a Sustainable Future,17
9,Alliance for a Sustainable Future,18
10,Alliance for Climate Protection,5
12,American Cities Foundation,12
13,American Institute of Architects (AIA) Philadelphia,1
13,American Institute of Architects (AIA) Philadelphia,2
13,American Institute of Architects (AIA) Philadelphia,3
13,American Institute of Architects (AIA) Philadelphia,4
13,American Institute of Architects (AIA) Philadelphia,5
13,American Institute of Architects (AIA) Philadelphia,10
13,American Institute of Architects (AIA) Philadelphia,11
13,American Institute of Architects (AIA) Philadelphia,12
13,American Institute of Architects (AIA) Philadelphia,14
13,American Institute of Architects (AIA) Philadelphia,16
14,American Society of Plumbing Engineers (ASPE) Philadelphia Chapter,2
14,American Society of Plumbing Engineers (ASPE) Philadelphia Chapter,3
14,American Society of Plumbing Engineers (ASPE) Philadelphia Chapter,4
14,American Society of Plumbing Engineers (ASPE) Philadelphia Chapter,5
14,American Society of Plumbing Engineers (ASPE) Philadelphia Chapter,6
14,American Society of Plumbing Engineers (ASPE) Philadelphia Chapter,14
14,American Society of Plumbing Engineers (ASPE) Philadelphia Chapter,16
14,American Society of Plumbing Engineers (ASPE) Philadelphia Chapter,17
15,American Water Resources Association - Philadelphia Metropolitan Area,17
16,Anchor Run CSA and Farm,8
16,Anchor Run CSA and Farm,9
16,Anchor Run CSA and Farm,11
16,Anchor Run CSA and Farm,16
17,Apollo Financial Services,3
17,Apollo Financial Services,4
17,Apollo Financial Services,5
17,Apollo Financial Services,6
17,Apollo Financial Services,7
17,Apollo Financial Services,16
18,Apothecary Garden (The),4
18,Apothecary Garden (The),9
19,Appalachian Mountain Club - Del. Valley Chapter,13
19,Appalachian Mountain Club - Del. Valley Chapter,18
20,Applied Ecological Services,10
20,Applied Ecological Services,11
21,ArdWood Civic Association,4
21,ArdWood Civic Association,10
21,ArdWood Civic Association,11
21,ArdWood Civic Association,12
21,ArdWood Civic Association,13
21,ArdWood Civic Association,14
21,ArdWood Civic Association,15
21,ArdWood Civic Association,16
21,ArdWood Civic Association,17
21,ArdWood Civic Association,18
21,ArdWood Civic Association,19
22,Athletes for a Fit Planet,13
22,Athletes for a Fit Planet,16
23,Audubon Pennsylvania,18
24,Awbury Arboretum,4
24,Awbury Arboretum,6
24,Awbury Arboretum,10
24,Awbury Arboretum,11
24,Awbury Arboretum,13
24,Awbury Arboretum,15
24,Awbury Arboretum,17
24,Awbury Arboretum,18
24,Awbury Arboretum,19
25,Bark Parks - list of local area parks,13
26,Bartram's Garden Education Department,4
26,Bartram's Garden Education Department,6
26,Bartram's Garden Education Department,11
26,Bartram's Garden Education Department,17
27,Batona Hiking Club of Philadelphia,13
28,Bedminster Land Conservancy,10
28,Bedminster Land Conservancy,11
28,Bedminster Land Conservancy,16
29,Bicycle Coalition of Greater Philadelphia,5
29,Bicycle Coalition of Greater Philadelphia,10
29,Bicycle Coalition of Greater Philadelphia,13
30,Blooming Glen Farm,8
30,Blooming Glen Farm,9
30,Blooming Glen Farm,16
31,Blue Green Alliance,5
31,Blue Green Alliance,12
32,BluPath Design Inc,2
33,Bowman's Hill Wildflower Preserve,4
33,Bowman's Hill Wildflower Preserve,11
33,Bowman's Hill Wildflower Preserve,15
33,Bowman's Hill Wildflower Preserve,18
